ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-5433130,Source1,2,2023-01-19 15:55:35.000000000,2023-01-19 17:35:40.000000000,41.4985,-81.673401,41.493891,-81.684438,0.654,Incident on I-90 WB near I-90 Drive with caution.,I-90,Cleveland,Cuyahoga,OH,44115,US,US/Eastern,KBKL,2023-01-19 15:53:00,50.0,50.0,77.0,28.87,10.0,N,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4711766,Source1,2,2022-07-31 12:53:30,2022-07-31 15:15:00,38.219207,-77.49952900000002,38.268646,-77.51427,3.508,Slow traffic on I-95 N from VA-606/Exit 118 (I-95) to VA-3/Exit 130 (I-95) due to accident.,I-95 N,Fredericksburg,Spotsylvania,VA,22408,US,US/Eastern,KEZF,2022-07-31 12:55:00,79.0,79.0,66.0,30.07,10.0,S,6.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4801768,Source1,2,2022-01-31 04:45:00,2022-01-31 06:03:22,35.213681459258964,-109.33777213044482,35.20259145925896,-109.37907213044484,2.454,Incident on I-40 WB near US-191 Left shoulder closed.,I-40 W,Chambers,Apache,AZ,86502,US,US/Mountain,KRQE,2022-01-31 04:53:00,13.0,13.0,77.0,23.49,10.0,SSW,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2325748,Source2,3,2019-01-09 10:59:06,2019-01-09 11:33:00,42.323223,-83.443214,,,0.0,Two lanes blocked and left hand shoulder blocked due to accident on I-275 Southbound after Exit 25 M-153 Ford Rd.,I-275 N,Canton,Wayne,MI,48187,US,US/Eastern,KYIP,2019-01-09 11:04:00,27.0,15.2,75.0,30.03,2.5,WNW,15.0,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1442114,Source2,2,2020-08-29 18:09:03,2020-08-29 19:08:34,43.754082,-74.792618,,,0.0,Restrictions due to accident on NY-28 both ways at Highland Trl.,State Highway 28,Inlet,Hamilton,NY,13360-1500,US,US/Eastern,KRME,2020-08-29 17:53:00,80.0,80.0,62.0,28.88,10.0,W,20.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-323200,Source2,2,2017-02-07 08:05:55,2017-02-07 08:37:03,33.799274,-81.640038,,,0.01,Accident on US-1 Columbia Hwy both ways at SC-392 Engineer Rd.,Engineer Rd,Ridge Spring,Saluda,SC,29129-9258,US,US/Eastern,KAIK,2017-02-07 08:15:00,51.8,,94.0,30.08,7.0,South,4.6,,Clear,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-2401596,Source2,3,2018-12-17 06:41:52,2018-12-17 07:11:21,33.263690999999994,-97.178368,,,0.0,One lane blocked due to accident on I-35 Southbound at US-77.,N Interstate 35,Denton,Denton,TX,76207-1437,US,US/Central,KDTO,2018-12-17 06:53:00,39.0,33.4,79.0,30.25,10.0,North,8.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
A-6452889,Source1,2,2021-01-13 01:48:12,2021-01-13 02:48:12,45.127564,-123.116888,45.12885900000001,-123.106581,0.51,A crash has occurred use caution., SE Lafayette Hwy,Dayton,Yamhill,OR,97114-8629,US,US/Pacific,KMMV,2021-01-13 01:53:00,50.0,50.0,83.0,29.8,10.0,WSW,12.0,0.01,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-4596721,Source1,2,2022-07-14 13:00:59,2022-07-14 15:16:04,45.590719,-122.682078,45.59338,-122.682852,0.188,A crash has the NB left lane closed near Victory. Use caution.,I-5 N,Portland,Multnomah,OR,97217,US,US/Pacific,KVUO,2022-07-14 12:53:00,74.0,74.0,50.0,29.99,10.0,WNW,9.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1036454,Source2,2,2021-05-21 16:39:10,2021-05-21 17:44:10,37.24152,-122.00221299999998,,,0.0,Lane blocked due to accident on CA-9 Saratoga Los Gatos Rd at Austin Way.,Saratoga Los Gatos Rd,Los Gatos,Santa Clara,CA,95030,US,US/Pacific,KSJC,2021-05-21 16:53:00,68.0,68.0,27.0,29.89,10.0,NW,14.0,0.0,Fair,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-5717345,Source1,2,2021-05-05 05:11:30,2021-05-05 18:41:11,32.85275816901754,-96.65240406943964,32.85564816901755,-96.64900406943964,0.281,Slow traffic from Maylee Blvd (Ferguson Rd) to I-635 (Ferguson Rd) due to accident.,Drummond Dr,Dallas,Dallas,TX,75228,US,US/Central,KDAL,2021-05-05 04:53:00,54.0,54.0,77.0,29.58,10.0,NNE,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-2089485,Source2,2,2019-05-08 06:38:10,2019-05-08 09:28:17,40.06488,-75.321342,,,0.0,Accident on Matsonford Rd at I-476.,I-476 N,Conshohocken,Montgomery,PA,19428,US,US/Eastern,KLOM,2019-05-08 06:35:00,55.0,55.0,100.0,29.87,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5666373,Source1,2,2021-11-03 05:36:30,2021-11-03 09:01:30,29.757299,-95.352511,29.736847,-95.369004,1.725,Stationary traffic on US-59 S - I-69 S from Runnels St/Canal St (US-59) to TX-288 (US-59) due to accident.,I-69 S,Houston,Harris,TX,77002,US,US/Central,KMCJ,2021-11-03 05:53:00,65.0,65.0,78.0,30.08,10.0,ENE,8.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6035654,Source1,2,2021-09-10 09:33:30,2021-09-10 09:59:30,28.34681,-81.635082,28.346861,-81.62961999999997,0.332,Stationary traffic on US-192 E - County Hwy-545 from CR-545/Avalon Rd (US-192) to FL-429 Toll/Western Expy (W Irlo Bronson Memorial Hwy/Vine St/US-192) due to accident., W Irlo Bronson Memorial Hwy,Kissimmee,Osceola,FL,34747-1001,US,US/Eastern,KISM,2021-09-10 09:56:00,,,,,10.0,WNW,5.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5459125,Source1,2,2022-11-16 16:04:45,2022-11-16 17:24:14,39.535242,-104.868233,39.548459,-104.869267,0.915,At Exit 193: Lincoln Avenue (Lone Tree) at Mile Point 193. Two right lanes are closed due to a crash.,I-25,Parker,Douglas,CO,80134,US,US/Mountain,KAPA,2022-11-16 15:53:00,37.0,32.0,34.0,24.39,10.0,NE,6.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-448954,Source2,2,2017-05-13 10:18:34,2017-05-13 11:03:07,40.248447,-74.727745,,,0.0099999997764825,Left lane blocked due to accident on US-1 Northbound at County Hwy-616 Whitehead Rd.,Whitehead Rd,Lawrence Township,Mercer,NJ,08648-4404,US,US/Eastern,KTTN,2017-05-13 09:53:00,50.0,,96.0,29.82,4.0,ENE,18.4,0.13,Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5768450,Source1,2,2021-11-16 10:25:00,2021-11-16 13:00:00,40.13017058353362,-80.33019661865077,40.147170583533615,-80.30229661865077,1.885,Incident on I-70 EB near S SUNSET BEACH RD Road closed. Take alternate route.,I-70,Washington,Washington,PA,15301,US,US/Eastern,KAFJ,2021-11-16 10:53:00,38.0,38.0,79.0,28.9,10.0,CALM,0.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
